NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-07-25 00:50:00	0.579500	0.391680	0.350000	1.880000	1.627550	0.000000	40.440000	53.710000	4.080000	26.281065	0.003414	26.270824	26.294719	78.048706	0.210571	77.531433	78.402710	1011.614667	0.018606	1011.540243	1011.707696	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.602557	0.010155	0.572091	0.626099	0.651948	0.008309	0.631638	0.672259	49141.629410	37.144089	49022.768326	49223.346405	1059.637718	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 00:52:00	0.904625	0.505665	0.350000	1.880000	1.880000	0.000000	9.290000	23.680000	313.240000	26.267410	0.003414	26.257169	26.277651	77.839661	0.265503	77.171326	78.308105	1011.577455	0.018606	1011.447214	1011.651879	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.595633	0.019849	0.418840	0.624252	0.658411	0.006924	0.639485	0.672259	49134.200592	29.715271	49030.197144	49201.059952	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 00:54:00	0.802880	0.623475	0.350000	2.645000	2.392550	0.000000	47.360000	33.370000	32.450000	26.250342	0.003414	26.240101	26.263996	77.439880	0.386047	76.591492	78.205872	1011.558849	0.037212	1011.465820	1011.670484	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.602095	0.009232	0.571168	0.633023	0.652410	0.006001	0.633023	0.664411	49134.200592	29.715271	49037.625961	49223.346405	1059.637718	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 00:56:00	0.509120	0.312120	0.350000	1.115000	1.115000	0.000000	9.880000	27.050000	353.230000	26.240101	0.003414	26.233273	26.250342	78.121948	0.157166	77.838135	78.582764	1011.577455	0.018606	1011.503032	1011.651879	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.604865	0.009694	0.566091	0.628407	0.651948	0.006462	0.639947	0.667643	49126.771774	29.715271	48993.053055	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 00:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	17.270000	44.140000	180.000000	26.229860	0.003414	26.226446	26.240101	78.536987	0.114441	78.234863	78.701782	1011.558849	0.037212	1011.447214	1011.689090	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598864	0.007847	0.574399	0.618713	0.657487	0.006924	0.642255	0.671797	49141.629410	29.715271	49045.054779	49230.775223	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:00:00	0.509120	0.327420	0.350000	1.880000	1.367450	0.000000	70.380000	21.370000	71.690000	26.219619	0.003414	26.209378	26.233273	78.465271	0.097656	78.234863	78.692627	1011.503032	0.037212	1011.410002	1011.633273	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.594710	0.010155	0.564244	0.620559	0.659795	0.004616	0.651487	0.670874	49134.200592	37.144089	49045.054779	49230.775223	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	79.480000	80.430000	180.000000	26.205964	0.003414	26.199137	26.216205	78.549194	0.157166	78.134155	78.736877	1011.428608	0.037212	1011.335579	1011.558849	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598403	0.011540	0.567014	0.624714	0.657487	0.004616	0.645486	0.666719	49134.200592	29.715271	49030.197144	49208.488770	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:04:00	0.375245	0.137700	0.350000	1.115000	0.862550	0.000000	35.170000	36.970000	6.010000	26.192309	0.003414	26.185482	26.202550	78.504944	0.158691	78.128052	78.897095	1011.428608	0.018606	1011.354185	1011.503032	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.590555	0.011540	0.549473	0.614559	0.649179	0.006001	0.635331	0.661180	49134.200592	37.144089	49022.768326	49230.775223	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:06:00	0.789875	0.592110	0.350000	2.645000	2.132450	0.000000	41.610000	30.650000	65.460000	26.182068	0.003414	26.175241	26.192309	77.964783	0.405884	77.232361	78.787231	1011.428608	0.018606	1011.354185	1011.521637	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.604403	0.008770	0.579939	0.627483	0.654256	0.005539	0.639485	0.668104	49126.771774	29.715271	48993.053055	49201.059952	1066.474091	0.000000	1059.637718	1093.819580	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:08:00	0.503000	0.338130	0.350000	1.880000	1.367450	0.000000	40.570000	19.100000	20.020000	26.175241	0.000000	26.171827	26.182068	78.173828	0.331116	77.265930	78.663635	1011.391396	0.037212	1011.298367	1011.503032	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.604403	0.010617	0.565629	0.629791	0.655179	0.007847	0.639947	0.670874	49134.200592	29.715271	48993.053055	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:10:00	0.541250	0.361080	0.350000	1.880000	1.367450	0.000000	27.620000	26.000000	21.510000	26.171827	0.000000	26.165000	26.178655	78.102112	0.340271	77.418518	78.684998	1011.335579	0.018606	1011.261155	1011.465820	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.593325	0.008770	0.567014	0.611327	0.652871	0.009232	0.632099	0.672259	49134.200592	37.144089	49022.768326	49223.346405	1066.474091	0.000000	1052.801346	1100.655952	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 01:12:00	0.388250	0.167535	0.350000	1.115000	0.862550	0.000000	31.860000	29.320000	15.220000	26.165000	0.003414	26.158173	26.175241	78.352356	0.390625	77.529907	78.900146	1011.335579	0.018606	1011.279761	1011.428608	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.605327	0.009232	0.580862	0.631176	0.660719	0.004154	0.650563	0.671335	49134.200592	29.715271	49022.768326	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1130.006882	1152.163879
2025-07-25 01:14:00	0.623870	0.441405	0.350000	1.880000	1.880000	0.000000	55.200000	38.620000	16.710000	26.158173	0.003414	26.151345	26.168414	78.411865	0.315857	77.723694	78.897095	1011.335579	0.018606	1011.242549	1011.428608	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.599326	0.009694	0.574399	0.626099	0.646871	0.007847	0.625637	0.659334	49134.200592	29.715271	49030.197144	49230.775223	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1159.549545
2025-07-25 01:16:00	0.382130	0.153765	0.350000	1.115000	0.862550	0.000000	52.220000	54.510000	108.910000	26.147932	0.000000	26.144518	26.154759	78.730774	0.073242	78.593445	78.900146	1011.279761	0.037212	1011.186732	1011.391396	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600249	0.011078	0.567475	0.631638	0.653333	0.005539	0.638562	0.667181	49141.629410	29.715271	49022.768326	49230.775223	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:18:00	0.451745	0.260865	0.350000	1.115000	1.115000	0.000000	17.460000	37.550000	345.160000	26.141104	0.000000	26.134277	26.151345	78.565979	0.189209	78.187561	78.836060	1011.205337	0.037212	1011.112308	1011.298367	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600711	0.008770	0.570245	0.618713	0.655179	0.005539	0.639947	0.667181	49134.200592	29.715271	49045.054779	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:20:00	0.470870	0.280755	0.350000	1.115000	1.115000	0.000000	46.670000	36.490000	65.900000	26.130863	0.003414	26.120622	26.141104	78.564453	0.192261	78.228760	78.994751	1011.168126	0.037212	1011.056490	1011.279761	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601172	0.009232	0.570707	0.627022	0.653795	0.005539	0.638100	0.665796	49134.200592	29.715271	49030.197144	49215.917587	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 01:22:00	0.496880	0.333540	0.350000	1.880000	1.367450	0.000000	61.260000	26.450000	74.840000	26.117209	0.003414	26.106968	26.130863	78.715515	0.149536	78.436279	78.996277	1011.112308	0.037212	1011.019279	1011.205337	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.595171	0.010155	0.562398	0.625637	0.652410	0.006924	0.636254	0.666719	49134.200592	37.144089	49015.339508	49215.917587	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:24:00	0.432620	0.238680	0.350000	1.115000	1.115000	0.000000	28.810000	29.840000	44.340000	26.120622	0.003414	26.110381	26.134277	78.636169	0.230408	78.219604	79.176331	1011.037885	0.037212	1010.944855	1011.168126	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.604403	0.009232	0.576246	0.634869	0.647332	0.006924	0.628407	0.661642	49134.200592	29.715271	49052.483597	49238.204041	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 01:26:00	0.432620	0.238680	0.350000	1.115000	1.115000	0.000000	63.050000	42.700000	60.120000	26.127450	0.000000	26.124036	26.137691	78.829956	0.198364	78.224182	79.193115	1011.019279	0.018606	1010.944855	1011.130914	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.011078	0.568399	0.628407	0.653333	0.004616	0.644101	0.669027	49126.771774	29.715271	48993.053055	49215.917587	1066.474091	0.000000	1059.637718	1093.819580	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:28:00	0.866375	0.716040	0.350000	3.410000	2.897450	0.000000	61.860000	51.180000	22.300000	26.117209	0.006827	26.100140	26.134277	78.402710	0.367737	77.328491	78.791809	1011.000673	0.018606	1010.926249	1011.093702	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.599787	0.010617	0.567475	0.618713	0.651948	0.004154	0.640870	0.663027	49126.771774	29.715271	48993.053055	49223.346405	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:30:00	0.942875	0.573750	0.350000	2.645000	2.645000	0.000000	16.150000	22.500000	356.390000	26.089899	0.006827	26.076245	26.106968	78.372192	0.401306	77.526855	78.894043	1010.982067	0.018606	1010.926249	1011.075096	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597018	0.011078	0.561013	0.621021	0.648255	0.009694	0.625175	0.667643	49134.200592	37.144089	49022.768326	49215.917587	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:32:00	0.592505	0.485775	0.350000	2.645000	2.392550	0.000000	29.830000	24.640000	4.340000	26.066004	0.003414	26.055763	26.079658	78.237915	0.251770	77.632141	78.694153	1010.963461	0.037212	1010.870432	1011.056490	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.602095	0.009694	0.575323	0.626099	0.647794	0.006001	0.631176	0.659795	49134.200592	29.715271	49030.197144	49230.775223	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:34:00	0.872495	0.595170	0.350000	2.645000	2.392550	0.000000	50.920000	35.940000	104.170000	26.045522	0.006827	26.031867	26.066004	78.329468	0.221252	77.734375	78.593445	1010.907643	0.037212	1010.833220	1011.000673	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600249	0.014310	0.555474	0.638562	0.651487	0.009694	0.632099	0.670874	49134.200592	29.715271	49015.339508	49215.917587	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:36:00	0.426500	0.230265	0.350000	1.115000	1.115000	0.000000	14.390000	24.790000	1.210000	26.018212	0.006827	26.004558	26.035281	78.486633	0.158691	77.929688	78.698730	1010.889038	0.018606	1010.796008	1010.982067	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600711	0.012002	0.553627	0.634407	0.654256	0.004616	0.641793	0.665335	49134.200592	37.144089	49007.910690	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:38:00	0.363005	0.098685	0.350000	1.115000	0.862550	0.000000	14.260000	28.390000	16.250000	25.997730	0.003414	25.990903	26.011385	78.884888	0.135803	78.616333	79.101563	1010.870432	0.018606	1010.796008	1010.944855	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.604403	0.015233	0.560090	0.635792	0.653795	0.006462	0.629330	0.665796	49141.629410	29.715271	49022.768326	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:40:00	0.866375	0.644130	0.350000	2.645000	2.392550	0.000000	16.190000	20.810000	3.130000	25.980662	0.006827	25.963594	26.001144	78.022766	0.923157	76.312256	79.293823	1010.833220	0.037212	1010.721585	1010.926249	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601172	0.008309	0.573938	0.621483	0.653795	0.004616	0.639023	0.664411	49141.629410	29.715271	49037.625961	49230.775223	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 01:42:00	0.936755	0.608940	0.350000	2.645000	2.392550	0.000000	5.550000	14.350000	354.720000	25.949939	0.006827	25.936284	25.970421	78.045654	0.498962	76.918030	79.013062	1010.814614	0.018606	1010.740190	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597479	0.011078	0.560090	0.627945	0.659795	0.005078	0.647794	0.674105	49126.771774	29.715271	49015.339508	49208.488770	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:44:00	0.604745	0.436050	0.350000	1.880000	1.627550	0.000000	20.500000	31.810000	17.130000	25.929457	0.003414	25.915802	25.939698	78.044128	0.463867	77.122498	78.784180	1010.814614	0.018606	1010.740190	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.605788	0.009232	0.569322	0.623791	0.656103	0.005539	0.643639	0.667181	49126.771774	37.144089	49037.625961	49230.775223	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 01:46:00	0.719495	0.465120	0.350000	1.880000	1.627550	0.000000	1.130000	33.060000	20.540000	25.908975	0.006827	25.895320	25.922630	78.411865	0.366211	77.824402	79.194641	1010.777402	0.018606	1010.702979	1010.870432	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601634	0.010617	0.572091	0.627483	0.660719	0.004616	0.639947	0.670874	49134.200592	29.715271	49015.339508	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:48:00	0.834245	0.594405	0.350000	1.880000	1.880000	0.000000	17.070000	23.830000	36.920000	25.888493	0.003414	25.881666	25.902148	78.396606	0.428772	77.331543	79.292297	1010.777402	0.037212	1010.702979	1010.870432	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598864	0.010155	0.565167	0.630253	0.651948	0.006001	0.638100	0.664411	49134.200592	29.715271	49030.197144	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1130.006882	1152.163879
2025-07-25 01:50:00	0.649880	0.424575	0.350000	1.880000	1.627550	0.000000	10.840000	26.850000	20.800000	25.878252	0.000000	25.874839	25.888493	78.660583	0.219727	78.128052	79.066467	1010.740190	0.018606	1010.665767	1010.833220	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.593325	0.010617	0.559628	0.615020	0.648255	0.006462	0.627945	0.660257	49134.200592	37.144089	49015.339508	49208.488770	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:52:00	0.776870	0.462825	0.350000	1.880000	1.627550	0.000000	15.390000	21.270000	10.920000	25.871425	0.000000	25.868011	25.881666	78.172302	0.428772	77.330017	78.991699	1010.721585	0.018606	1010.628555	1010.833220	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601172	0.008770	0.575323	0.636715	0.653795	0.005078	0.643178	0.666258	49134.200592	37.144089	49045.054779	49253.061676	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 01:54:00	0.981125	0.655605	0.350000	1.880000	1.880000	0.000000	7.930000	27.070000	30.710000	25.868011	0.000000	25.864598	25.878252	77.233887	0.520325	76.193237	78.413391	1010.665767	0.037212	1010.535526	1010.758796	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.594248	0.011078	0.558243	0.630253	0.653333	0.005078	0.636254	0.663488	49134.200592	29.715271	49052.483597	49230.775223	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 01:56:00	0.891620	0.638010	0.350000	2.645000	2.392550	0.000000	21.320000	25.950000	12.500000	25.861184	0.000000	25.854357	25.868011	77.330017	0.755310	75.917053	78.590393	1010.572738	0.037212	1010.516920	1010.740190	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.603019	0.010617	0.575323	0.623329	0.647332	0.006462	0.633023	0.663027	49134.200592	22.286453	49052.483597	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 01:58:00	0.573380	0.401625	0.350000	1.880000	1.627550	0.000000	17.030000	25.880000	355.080000	25.854357	0.000000	25.847529	25.861184	78.401184	0.341797	77.362061	79.000854	1010.572738	0.018606	1010.498314	1010.647161	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598403	0.009694	0.573476	0.617328	0.654256	0.006924	0.637639	0.669489	49134.200592	29.715271	49037.625961	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:00:00	0.420380	0.221850	0.350000	1.115000	1.115000	0.000000	44.060000	31.890000	1.550000	25.844116	0.003414	25.833875	25.854357	78.942871	0.325012	78.340149	79.501343	1010.572738	0.018606	1010.479708	1010.665767	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596556	0.020310	0.401761	0.618251	0.649179	0.007386	0.627483	0.663027	49134.200592	29.715271	49022.768326	49230.775223	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 02:02:00	0.496880	0.374850	0.350000	1.880000	1.627550	0.000000	58.580000	57.450000	11.450000	25.827047	0.003414	25.816806	25.837288	79.141235	0.222778	78.523254	79.405212	1010.554132	0.018606	1010.461102	1010.647161	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.607635	0.009694	0.579939	0.627483	0.653795	0.005078	0.640870	0.663950	49141.629410	22.286453	49052.483597	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:04:00	0.369125	0.120105	0.350000	1.115000	0.602450	0.000000	40.800000	42.210000	358.580000	25.806565	0.003414	25.796324	25.823634	78.887939	0.260925	78.329468	79.304504	1010.535526	0.018606	1010.461102	1010.628555	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.591017	0.011078	0.559628	0.618251	0.654256	0.006462	0.634869	0.666258	49141.629410	37.144089	49015.339508	49245.632858	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 02:06:00	0.611630	0.426870	0.350000	1.880000	1.627550	0.000000	39.700000	25.740000	11.790000	25.789497	0.003414	25.779256	25.803152	78.854370	0.447083	77.926636	79.403687	1010.479708	0.037212	1010.405285	1010.591343	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598864	0.011540	0.551781	0.618251	0.656564	0.005539	0.642255	0.669489	49141.629410	29.715271	49000.481873	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1159.549545
2025-07-25 02:08:00	0.617750	0.439875	0.350000	1.880000	1.880000	0.000000	63.540000	42.800000	48.020000	25.769015	0.003414	25.758774	25.786083	79.066467	0.376892	78.132629	79.603577	1010.461102	0.037212	1010.368073	1010.554132	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.009694	0.559628	0.625175	0.655179	0.005078	0.640408	0.669027	49141.629410	29.715271	49037.625961	49230.775223	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1159.549545
2025-07-25 02:10:00	0.828125	0.515610	0.350000	1.880000	1.880000	0.000000	6.370000	23.210000	60.730000	25.755360	0.003414	25.748533	25.765601	78.759766	0.270081	78.230286	79.293823	1010.423890	0.018606	1010.368073	1010.535526	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601634	0.009232	0.574861	0.621944	0.649179	0.006924	0.634407	0.666258	49134.200592	29.715271	49059.912415	49223.346405	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 02:12:00	1.019375	0.591345	0.350000	1.880000	1.880000	0.000000	22.950000	26.900000	5.750000	25.745119	0.000000	25.741706	25.751947	78.236389	0.567627	77.021790	79.194641	1010.405285	0.018606	1010.330861	1010.516920	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598864	0.008309	0.572553	0.617790	0.654718	0.008309	0.634407	0.673182	49134.200592	29.715271	49022.768326	49230.775223	1066.474091	0.000000	1059.637718	1093.819580	1130.006882	0.000000	1130.006882	1144.778214
2025-07-25 02:14:00	0.604745	0.468945	0.350000	2.645000	1.880000	0.000000	58.630000	37.200000	21.870000	25.734878	0.003414	25.728051	25.745119	79.014587	0.245667	78.506470	79.565430	1010.405285	0.018606	1010.312255	1010.479708	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.591940	0.008770	0.559628	0.611789	0.649640	0.005078	0.635792	0.662565	49134.200592	37.144089	49030.197144	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 02:16:00	0.783755	0.601290	0.350000	2.645000	2.392550	0.000000	32.310000	26.520000	27.640000	25.731465	0.000000	25.724637	25.738292	78.565979	0.793457	76.913452	79.605103	1010.368073	0.037212	1010.256438	1010.479708	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.009694	0.567937	0.618251	0.646871	0.005539	0.633946	0.659795	49134.200592	22.286453	49052.483597	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:18:00	0.503000	0.307530	0.350000	1.115000	1.115000	0.000000	56.530000	53.890000	134.680000	25.731465	0.000000	25.728051	25.741706	79.049683	0.267029	78.373718	79.396057	1010.349467	0.037212	1010.275043	1010.442496	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598864	0.008309	0.573938	0.619636	0.657026	0.005539	0.641793	0.668566	49141.629410	29.715271	49045.054779	49223.346405	1066.474091	0.000000	1052.801346	1093.819580	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:20:00	0.458630	0.285345	0.350000	1.880000	1.367450	0.000000	9.390000	46.330000	354.020000	25.731465	0.000000	25.721224	25.741706	79.621887	0.221252	79.315186	80.226135	1010.330861	0.037212	1010.237832	1010.423890	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.602095	0.007847	0.578554	0.619636	0.647794	0.007847	0.628868	0.664411	49126.771774	29.715271	49000.481873	49208.488770	1066.474091	6.836372	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:22:00	0.828125	0.612000	0.350000	2.645000	2.132450	0.000000	34.870000	33.650000	21.070000	25.731465	0.000000	25.724637	25.738292	79.467773	0.601196	78.059387	80.110168	1010.312255	0.018606	1010.237832	1010.423890	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.008770	0.567014	0.616405	0.650563	0.005078	0.639023	0.660719	49126.771774	22.286453	49059.912415	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:24:00	0.795995	0.732870	0.350000	3.410000	2.897450	0.000000	38.700000	35.690000	7.150000	25.724637	0.003414	25.717810	25.734878	78.530884	0.779724	77.369690	79.884338	1010.275043	0.018606	1010.219226	1010.405285	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.594248	0.010155	0.562859	0.614097	0.653333	0.006924	0.641793	0.673643	49126.771774	37.144089	49022.768326	49223.346405	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:26:00	0.407375	0.201960	0.350000	1.115000	0.862550	0.000000	57.220000	41.690000	2.850000	25.710983	0.003414	25.704155	25.721224	79.432678	0.187683	78.981018	79.728699	1010.275043	0.018606	1010.200620	1010.405285	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597941	0.013386	0.559167	0.629791	0.656103	0.004154	0.646409	0.666258	49141.629410	29.715271	49045.054779	49215.917587	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:28:00	0.483875	0.323595	0.350000	1.880000	1.367450	0.000000	28.980000	25.750000	22.480000	25.700742	0.000000	25.693914	25.707569	79.136658	0.294495	78.340149	79.687500	1010.256438	0.018606	1010.163408	1010.386679	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597479	0.008770	0.569322	0.622406	0.650102	0.005539	0.638562	0.665335	49134.200592	29.715271	49059.912415	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
